116828,-238.5,18,-577.5
116863,-239.25,19.5,-580.5
116898,-243.75,15.75,-577.5
116933,-234.75,30,-577.5
116968,-236.25,21,-579.75
117003,-240,20.25,-578.25
117038,-239.25,20.25,-579.75
117073,-234.75,13.5,-579
117108,-240,18.75,-574.5
117143,-233.25,17.25,-571.5
117179,-240,15.75,-579
117214,-243.75,18.75,-574.5
117249,-234.75,21.75,-577.5
117284,-237.75,19.5,-572.25
117319,-240,16.5,-578.25
117354,-234.75,21,-580.5
117389,-238.5,23.25,-574.5
117424,-236.25,19.5,-578.25
117459,-239.25,16.5,-575.25
117494,-243.75,13.5,-581.25
117529,-243,18.75,-579.75
117564,-240,12.75,-576
117599,-235.5,17.25,-576
117634,-241.5,22.5,-582.75
117669,-232.5,21.75,-574.5
117704,-239.25,20.25,-579.75
117739,-234.75,20.25,-579
117774,-240,15,-575.25
117809,-231.75,19.5,-579.75
117844,-234,18.75,-576.75
117880,-235.5,24.75,-575.25
117915,-243,21.75,-578.25
117950,-235.5,18.75,-577.5
117985,-237,24,-577.5
118020,-240,21,-576.75
118055,-238.5,23.25,-576.75
118090,-231.75,21,-578.25
118125,-233.25,18.75,-579.75
118160,-235.5,17.25,-577.5
118195,-241.5,23.25,-577.5
118230,-237.75,18.75,-576.75
118265,-243,19.5,-574.5
118300,-234,18.75,-579
118335,-238.5,17.25,-582.75
118370,-238.5,21.75,-580.5
118405,-234.75,17.25,-576
118440,-234,21,-579.75
118475,-238.5,17.25,-579.75
118510,-243,22.5,-579
118545,-238.5,21,-579
118581,-240,22.5,-572.25
118616,-236.25,15,-572.25
118651,-237,18,-582.75
118686,-243.75,16.5,-579.75
118721,-242.25,16.5,-578.25
118756,-240.75,18,-577.5
118791,-237.75,19.5,-574.5
118826,-240,13.5,-585
118861,-237.75,21,-583.5
118896,-235.5,17.25,-579
118931,-240,15.75,-573.75
118966,-240,20.25,-574.5
119001,-236.25,18,-576.75
119036,-240,21,-573.75
119071,-236.25,22.5,-575.25
119106,-231,21,-579.75
119141,-229.5,21.75,-573
119176,-240,16.5,-579.75
119211,-239.25,19.5,-577.5
119246,-246.75,19.5,-577.5
119281,-237,20.25,-579
119317,-237.75,24.75,-577.5
119352,-246.75,15.75,-578.25
119387,-231.75,16.5,-569.25
119422,-240,21.75,-570
119457,-242.25,21,-576.75
119492,-245.25,12.75,-576
119527,-237,21,-574.5
119562,-237,17.25,-571.5
119597,-235.5,21.75,-577.5
119632,-236.25,16.5,-577.5
119667,-234.75,17.25,-572.25
119702,-239.25,22.5,-574.5
119737,-240.75,19.5,-580.5
119772,-241.5,18,-575.25
119807,-235.5,18,-572.25
119842,-237,18,-578.25
119877,-233.25,22.5,-581.25
119912,-237.75,21,-582
119947,-240,23.25,-577.5
119982,-239.25,18.75,-581.25
120018,-239.25,21,-579.75
120053,-231.75,15.75,-577.5
120088,-242.25,16.5,-585
120123,-237,14.25,-574.5
