10629,-54.75,234,-551.25
10664,-53.25,242.25,-550.5
10699,-52.5,237,-551.25
10734,-55.5,238.5,-550.5
10769,-51.75,230.25,-550.5
10805,-52.5,237.75,-546.75
10840,-59.25,234,-551.25
10875,-57,240,-551.25
10910,-54,243,-546
10945,-50.25,237,-549
10980,-56.25,236.25,-547.5
11015,-54,238.5,-544.5
11050,-48.75,237.75,-552.75
11085,-51.75,237.75,-549
11120,-54,231.75,-556.5
11155,-51.75,235.5,-547.5
11190,-54,237,-553.5
11225,-56.25,233.25,-554.25
11260,-54,240.75,-560.25
11295,-52.5,232.5,-545.25
11330,-54.75,234,-554.25
11365,-51,235.5,-549
11400,-48,236.25,-552
11435,-49.5,236.25,-551.25
11470,-48.75,235.5,-549
11506,-53.25,236.25,-549
11541,-48.75,231.75,-558
11576,-54,238.5,-539.25
11611,-54.75,239.25,-554.25
11646,-51.75,238.5,-551.25
11681,-54.75,241.5,-553.5
11716,-52.5,234.75,-552
11751,-48.75,235.5,-549.75
11786,-51,236.25,-547.5
11821,-54.75,237,-550.5
11856,-57.75,233.25,-551.25
11891,-54.75,237,-553.5
11926,-55.5,240,-555.75
11961,-54,233.25,-546
11996,-48,237.75,-552
12031,-48,240,-547.5
12066,-55.5,237.75,-547.5
12101,-51.75,236.25,-551.25
12136,-51.75,234.75,-556.5
12172,-51,234.75,-546.75
12207,-56.25,231.75,-550.5
12242,-52.5,238.5,-552.75
12277,-51,232.5,-555
12312,-51.75,237,-552
12347,-48.75,233.25,-551.25
12382,-54,237,-552.75
12417,-48,242.25,-545.25
12452,-53.25,238.5,-550.5
12487,-48.75,231,-548.25
12522,-51,235.5,-548.25
12557,-49.5,234,-544.5
12592,-51.75,236.25,-552.75
12627,-52.5,243,-546.75
12662,-50.25,236.25,-548.25
12697,-48.75,238.5,-549
12732,-54,232.5,-555
12767,-48.75,232.5,-556.5
12802,-51,238.5,-555
12837,-49.5,228,-547.5
12873,-50.25,229.5,-546
12908,-52.5,236.25,-553.5
12943,-53.25,234,-549.75
12978,-50.25,235.5,-548.25
13013,-55.5,242.25,-550.5
13048,-51.75,236.25,-550.5
13083,-50.25,231,-552
13118,-53.25,236.25,-548.25
13153,-54,235.5,-547.5
13188,-51.75,234.75,-550.5
13223,-50.25,234,-548.25
13258,-52.5,233.25,-552.75
13293,-52.5,233.25,-548.25
13328,-51,238.5,-553.5
13363,-51,240,-549.75
13398,-55.5,236.25,-551.25
13433,-48,237,-554.25
13468,-51.75,237,-545.25
13503,-53.25,237.75,-552.75
13539,-53.25,240,-545.25
13574,-56.25,237,-546
13609,-51.75,236.25,-551.25
13644,-51,237,-550.5
13679,-49.5,235.5,-553.5
13714,-52.5,240,-552.75
13749,-50.25,234,-546.75
13784,-51.75,234,-555
13819,-56.25,236.25,-550.5
13854,-52.5,238.5,-552.75
13889,-51,238.5,-550.5
13924,-48.75,237.75,-547.5
13959,-48,237,-552.75
13994,-55.5,237,-550.5
14029,-51.75,235.5,-549.75
14064,-51.75,234.75,-548.25
14099,-53.25,236.25,-549
14134,-45.75,243.75,-549.75
14169,-54,231,-545.25
14205,-52.5,234.75,-545.25
14240,-47.25,238.5,-547.5
14275,-48.75,238.5,-547.5
14310,-55.5,232.5,-542.25
