0.59,10.89,0.41,0.41,0.36,0.41
0.53,10.9,0.41,0.41,0.36,0.41
0.5,10.9,0.41,0.41,0.36,0.41
0.57,10.94,0.41,0.41,0.36,0.41
0.6,10.91,0.41,0.41,0.36,0.41
0.36,10.97,0.41,0.41,0.36,0.41
0.54,10.92,0.41,0.41,0.36,0.41
0.5,10.87,0.41,0.41,0.36,0.41
0.6,10.81,0.41,0.42,0.36,0.41
0.52,10.82,0.41,0.42,0.36,0.41
0.61,10.81,0.41,0.42,0.36,0.41
0.45,10.81,0.41,0.42,0.36,0.41
0.55,10.72,0.41,0.42,0.36,0.41
0.61,10.58,0.41,0.42,0.36,0.41
0.4,10.59,0.41,0.42,0.36,0.41
0.54,10.19,0.41,0.42,0.36,0.41
0.38,10.04,0.41,0.42,0.36,0.41
0.46,9.72,0.41,0.42,0.36,0.41
0.59,9.29,0.41,0.42,0.36,0.41
0.44,9.09,0.42,0.42,0.36,0.41
0.48,8.6,0.42,0.42,0.36,0.41
0.48,8.06,0.42,0.42,0.37,0.41
0.49,7.53,0.42,0.42,0.37,0.41
0.34,7.08,0.42,0.42,0.37,0.41
0.39,6.42,0.42,0.42,0.37,0.41
0.28,6.06,0.42,0.42,0.37,0.41
0.38,5.57,0.42,0.42,0.37,0.41
0.3,5.02,0.42,0.42,0.37,0.41
0.45,4.56,0.42,0.42,0.37,0.41
0.21,4.07,0.42,0.42,0.37,0.41
0.37,3.55,0.42,0.42,0.37,0.41
0.33,3.03,0.42,0.42,0.37,0.41
0.26,2.37,0.42,0.42,0.38,0.41
0.15,1.99,0.42,0.42,0.38,0.41
0.12,1.48,0.42,0.42,0.38,0.41
0.2,1.03,0.42,0.42,0.38,0.41
0.22,0.49,0.42,0.42,0.38,0.41
0.16,0.1,0.42,0.42,0.38,0.41
0.04,-0.37,0.42,0.42,0.38,0.41
0.13,-0.72,0.42,0.42,0.38,0.41
0.07,-1.09,0.42,0.42,0.38,0.41
0.1,-1.69,0.42,0.42,0.38,0.41
0.06,-2.08,0.42,0.42,0.38,0.41
0.08,-2.48,0.42,0.42,0.38,0.41
0.18,-2.89,0.42,0.42,0.38,0.4
-0,-3.52,0.42,0.43,0.38,0.4
-0.04,-4.09,0.42,0.42,0.38,0.4
-0.03,-4.67,0.42,0.42,0.39,0.4
0.03,-5.35,0.42,0.42,0.39,0.4
0.01,-5.99,0.42,0.42,0.39,0.4
0.06,-6.27,0.42,0.42,0.39,0.4
-0.15,-7.15,0.42,0.42,0.39,0.4
-0.18,-7.66,0.42,0.42,0.39,0.4
-0.1,-8.01,0.42,0.42,0.39,0.39
-0.03,-8.41,0.42,0.42,0.39,0.39
-0.15,-9.07,0.42,0.42,0.39,0.39
-0.22,-9.51,0.42,0.42,0.39,0.39
-0.15,-10.17,0.42,0.42,0.39,0.39
-0.04,-10.81,0.42,0.42,0.39,0.39
-0.21,-11.56,0.42,0.42,0.39,0.39
-0.11,-12.07,0.42,0.42,0.39,0.39
-0.24,-12.62,0.42,0.41,0.39,0.38
-0.27,-13.11,0.42,0.41,0.39,0.38
-0.22,-13.6,0.42,0.41,0.39,0.38
-0.31,-14.08,0.42,0.41,0.39,0.38
-0.3,-14.88,0.42,0.41,0.39,0.38
-0.39,-15.43,0.42,0.41,0.39,0.38
-0.18,-16.08,0.42,0.41,0.39,0.38
-0.31,-16.62,0.41,0.4,0.39,0.38
-0.3,-17.06,0.41,0.4,0.39,0.37
-0.35,-17.71,0.41,0.4,0.39,0.37
-0.57,-18.11,0.41,0.4,0.39,0.37
-0.36,-18.53,0.41,0.4,0.39,0.37
-0.47,-19,0.41,0.4,0.39,0.37
-0.26,-19.22,0.41,0.4,0.39,0.37
-0.42,-19.86,0.41,0.4,0.39,0.37
-0.54,-20.56,0.41,0.39,0.39,0.36
-0.38,-20.79,0.41,0.39,0.39,0.36
-0.22,-21,0.41,0.39,0.39,0.36
-0.69,-21.28,0.41,0.39,0.39,0.36
-0.21,-21.37,0.41,0.39,0.39,0.36
-0.37,-21.97,0.41,0.39,0.39,0.36
-0.48,-22.05,0.41,0.39,0.39,0.36
-0.25,-22.51,0.41,0.39,0.39,0.36
-0.54,-22.7,0.4,0.39,0.39,0.36
-0.53,-22.69,0.4,0.39,0.39,0.36
-0.34,-23.18,0.4,0.39,0.39,0.35
-0.37,-23.52,0.4,0.38,0.39,0.35
-0.69,-23.97,0.4,0.38,0.39,0.35
-0.38,-24.61,0.4,0.38,0.39,0.35
-0.05,-25.26,0.4,0.38,0.39,0.35
-1,-25.7,0.4,0.38,0.39,0.34
-0.51,-26.39,0.39,0.38,0.39,0.34
-0.58,-26.54,0.39,0.37,0.39,0.34
-0.91,-27.75,0.39,0.37,0.39,0.34
-0.49,-28.44,0.39,0.37,0.39,0.33
-0.37,-29,0.39,0.37,0.39,0.33
-0.74,-29.53,0.38,0.37,0.39,0.33
-0.32,-30.6,0.38,0.36,0.39,0.32
-0.41,-30.82,0.38,0.36,0.39,0.32
-0.86,-31.76,0.38,0.36,0.39,0.32
-0.66,-32.1,0.37,0.36,0.39,0.32
-0.69,-32.84,0.37,0.35,0.39,0.31
-0.75,-33.42,0.37,0.35,0.39,0.31
-0.8,-33.76,0.37,0.35,0.39,0.31
-0.62,-34.56,0.37,0.35,0.39,0.3
-0.55,-35.41,0.36,0.34,0.39,0.3
-0.59,-36.06,0.36,0.34,0.38,0.3
-0.66,-37.23,0.35,0.34,0.38,0.29
-0.54,-37.86,0.35,0.33,0.38,0.29
-0.64,-38.37,0.35,0.33,0.38,0.28
