0.9,16.42,0.39,0.39,0.36,0.39
0.9,16.43,0.39,0.39,0.36,0.39
0.89,16.41,0.39,0.39,0.36,0.39
0.86,16.42,0.39,0.39,0.36,0.39
0.89,16.41,0.39,0.39,0.36,0.39
0.9,16.43,0.39,0.39,0.36,0.39
0.85,16.43,0.39,0.39,0.36,0.39
0.86,16.44,0.39,0.39,0.36,0.39
0.84,16.43,0.39,0.39,0.36,0.39
0.87,16.43,0.39,0.39,0.36,0.39
0.85,16.42,0.39,0.39,0.36,0.39
0.85,16.43,0.39,0.39,0.36,0.39
0.83,16.41,0.39,0.39,0.36,0.39
0.86,16.44,0.39,0.39,0.36,0.39
0.85,16.41,0.39,0.39,0.36,0.39
0.84,16.4,0.39,0.39,0.36,0.39
0.87,16.44,0.39,0.39,0.36,0.39
0.88,16.42,0.39,0.39,0.36,0.39
0.87,16.41,0.39,0.39,0.36,0.39
0.86,16.38,0.39,0.39,0.36,0.39
0.85,16.42,0.39,0.39,0.36,0.39
0.87,16.41,0.39,0.39,0.36,0.39
0.88,16.4,0.39,0.39,0.36,0.39
0.85,16.43,0.39,0.39,0.36,0.39
0.88,16.43,0.39,0.39,0.36,0.39
0.84,16.43,0.39,0.39,0.36,0.39
0.88,16.4,0.39,0.39,0.36,0.39
0.98,16.38,0.39,0.39,0.36,0.39
0.96,16.38,0.39,0.39,0.36,0.39
0.95,16.42,0.39,0.39,0.36,0.39
1,16.43,0.39,0.39,0.36,0.39
1.06,16.4,0.39,0.39,0.36,0.39
0.97,16.4,0.39,0.39,0.36,0.39
1.05,16.37,0.39,0.39,0.36,0.39
0.86,16.43,0.39,0.39,0.36,0.39
0.7,16.35,0.39,0.39,0.36,0.39
0.69,16.09,0.39,0.4,0.37,0.39
0.73,15.87,0.39,0.4,0.37,0.39
0.87,14.99,0.39,0.4,0.37,0.39
0.84,15.13,0.39,0.4,0.37,0.39
0.9,14.6,0.39,0.4,0.37,0.39
0.89,14.32,0.39,0.4,0.37,0.39
0.84,14.02,0.39,0.4,0.37,0.39
0.6,13.74,0.39,0.4,0.37,0.39
0.93,13.32,0.39,0.4,0.37,0.39
0.83,12.81,0.39,0.4,0.38,0.39
0.68,12.33,0.39,0.4,0.38,0.39
0.82,12.18,0.39,0.4,0.38,0.39
0.78,11.56,0.39,0.4,0.38,0.39
0.51,11.37,0.4,0.4,0.38,0.39
0.6,10.92,0.4,0.4,0.38,0.39
0.44,10.56,0.4,0.4,0.38,0.39
0.62,9.94,0.4,0.4,0.38,0.39
0.68,9.54,0.4,0.4,0.38,0.39
0.75,9.08,0.4,0.4,0.38,0.39
0.65,8.72,0.4,0.4,0.39,0.39
0.6,8.41,0.4,0.4,0.39,0.39
0.66,8.12,0.4,0.4,0.39,0.39
1.14,7.95,0.4,0.4,0.39,0.39
0.6,7.89,0.4,0.4,0.39,0.39
0.43,7.24,0.4,0.4,0.39,0.39
0.48,7.06,0.4,0.4,0.39,0.39
0.35,6.9,0.4,0.4,0.39,0.39
0.71,6.85,0.4,0.4,0.39,0.39
0.81,6.69,0.4,0.4,0.39,0.39
0.82,6.49,0.4,0.4,0.39,0.39
0.36,6.29,0.4,0.4,0.39,0.39
0.39,5.75,0.4,0.4,0.39,0.39
0.49,5.66,0.4,0.4,0.39,0.39
0.62,5.49,0.4,0.4,0.39,0.39
0.43,5.17,0.4,0.4,0.39,0.39
0.38,5.04,0.4,0.4,0.39,0.39
0.51,4.74,0.4,0.4,0.39,0.39
0.48,4.48,0.4,0.4,0.39,0.39
0.49,4.2,0.4,0.4,0.39,0.39
0.33,4.01,0.4,0.4,0.39,0.39
0.47,3.59,0.4,0.4,0.4,0.39
0.47,3.36,0.4,0.4,0.4,0.39
0.39,3.13,0.4,0.4,0.4,0.39
0.39,2.85,0.4,0.4,0.4,0.39
0.42,2.68,0.4,0.4,0.4,0.39
0.55,2.34,0.4,0.4,0.4,0.39
0.34,1.92,0.4,0.4,0.4,0.38
0.33,1.31,0.4,0.4,0.4,0.38
0.32,0.3,0.4,0.4,0.4,0.38
0.32,-0.04,0.4,0.4,0.4,0.38
0.38,-0.84,0.4,0.4,0.4,0.38
0.37,-1.7,0.4,0.4,0.4,0.38
0.21,-2.37,0.4,0.4,0.41,0.38
0.23,-3.05,0.41,0.4,0.41,0.38
0.14,-3.45,0.4,0.4,0.41,0.38
0.22,-4.33,0.4,0.4,0.41,0.37
0.05,-4.66,0.4,0.4,0.41,0.37
0.21,-5.18,0.4,0.4,0.41,0.37
0.06,-5.61,0.4,0.4,0.41,0.37
0.2,-6.25,0.4,0.4,0.41,0.37
0.15,-6.81,0.4,0.4,0.41,0.37
0.08,-7.49,0.4,0.4,0.41,0.37
0.11,-8.2,0.4,0.4,0.41,0.36
-0,-8.58,0.4,0.4,0.41,0.36
0.08,-9.6,0.4,0.4,0.41,0.36
0.06,-9.98,0.4,0.4,0.41,0.36
-0.07,-10.72,0.4,0.4,0.41,0.36
-0.06,-11.07,0.4,0.39,0.41,0.36
-0.04,-11.83,0.4,0.39,0.41,0.35
-0.18,-12.47,0.4,0.39,0.41,0.35
-0.26,-12.92,0.4,0.39,0.41,0.35
-0.08,-13.81,0.4,0.39,0.41,0.35
-0,-14.19,0.4,0.39,0.41,0.35
-0.14,-14.98,0.4,0.39,0.41,0.34
-0.15,-15.48,0.4,0.39,0.41,0.34
-0.28,-16.63,0.39,0.39,0.41,0.34
-0.39,-16.93,0.39,0.38,0.41,0.33
-0.35,-17.63,0.39,0.38,0.41,0.33
-0.3,-18.14,0.39,0.38,0.41,0.33
