0.02,6.81,0.37,0.4,0.4,0.43
0.04,7.44,0.37,0.4,0.4,0.43
0.05,7.74,0.37,0.4,0.4,0.43
0.33,8.32,0.37,0.4,0.4,0.43
0.06,9.01,0.37,0.4,0.4,0.43
0.08,9.5,0.37,0.4,0.4,0.43
0.13,10.1,0.37,0.4,0.4,0.44
0.12,10.73,0.37,0.4,0.4,0.44
0.4,11.2,0.37,0.4,0.39,0.44
0.4,11.57,0.37,0.4,0.39,0.44
0.2,12.24,0.37,0.4,0.39,0.44
0.15,12.75,0.37,0.4,0.39,0.44
0.46,13.57,0.37,0.4,0.39,0.44
0.37,14.07,0.37,0.4,0.39,0.44
0.23,14.77,0.37,0.39,0.39,0.44
0.36,15.32,0.37,0.39,0.39,0.44
0.41,16.05,0.37,0.39,0.38,0.44
0.65,16.55,0.36,0.39,0.38,0.44
0.19,17.04,0.36,0.39,0.38,0.44
0.61,17.4,0.36,0.39,0.38,0.44
0.77,18.46,0.36,0.39,0.38,0.44
0.23,18.86,0.36,0.39,0.37,0.44
0.46,19.61,0.36,0.39,0.37,0.44
0.82,20.26,0.36,0.39,0.37,0.44
0.65,20.86,0.36,0.38,0.36,0.44
0.6,21.66,0.35,0.38,0.36,0.44
0.54,22.26,0.35,0.38,0.36,0.44
0.76,22.97,0.35,0.38,0.35,0.44
0.74,24.17,0.35,0.38,0.35,0.44
0.46,24.9,0.35,0.37,0.34,0.44
0.77,26.15,0.34,0.37,0.34,0.44
0.98,26.85,0.34,0.37,0.33,0.44
0.84,27.74,0.34,0.36,0.33,0.44
1.04,29.03,0.33,0.36,0.32,0.44
1.01,30.21,0.33,0.36,0.32,0.43
0.51,31.17,0.33,0.35,0.31,0.43
0.97,32.15,0.32,0.35,0.31,0.43
0.97,32.87,0.32,0.35,0.31,0.43
0.72,33.46,0.32,0.34,0.3,0.43
0.76,34.99,0.31,0.34,0.3,0.43
0.91,35.5,0.31,0.33,0.29,0.43
0.77,36.4,0.31,0.33,0.29,0.43
1.2,37.63,0.3,0.32,0.28,0.42
1.12,38.76,0.3,0.32,0.27,0.42
1.08,39.78,0.29,0.31,0.26,0.42
1.23,40.52,0.29,0.3,0.26,0.42
1.2,42.03,0.28,0.3,0.25,0.41
1.26,42.67,0.28,0.29,0.24,0.41
1.26,43.74,0.28,0.29,0.24,0.41
1.31,44.49,0.27,0.29,0.23,0.41
1.14,45.12,0.27,0.28,0.23,0.41
1.14,45.7,0.27,0.28,0.23,0.41
1.36,45.92,0.27,0.28,0.22,0.41
1.11,46.66,0.27,0.27,0.22,0.41
1.23,47.69,0.26,0.27,0.21,0.4
1.39,48.07,0.26,0.26,0.2,0.4
1.18,49.33,0.25,0.26,0.2,0.4
1.43,50.52,0.25,0.25,0.18,0.39
1.2,50.77,0.24,0.25,0.18,0.39
1.33,52.61,0.24,0.24,0.16,0.39
1.07,52.91,0.24,0.23,0.16,0.38
1.35,54.55,0.23,0.23,0.15,0.38
1.26,55.28,0.23,0.22,0.14,0.37
1.42,56.22,0.22,0.22,0.13,0.37
1.32,57.67,0.21,0.21,0.12,0.36
1.53,58.52,0.21,0.2,0.11,0.36
1.45,60.94,0.2,0.19,0.09,0.35
1.5,60.59,0.19,0.18,0.09,0.35
1.5,63.1,0.18,0.18,0.08,0.34
1.52,64.39,0.18,0.17,0.07,0.33
1.53,64.61,0.17,0.16,0.06,0.33
1.49,66.68,0.16,0.16,0.05,0.32
1.52,65.72,0.16,0.15,0.05,0.32
1.52,67.99,0.15,0.15,0.05,0.31
1.63,68.69,0.14,0.14,0.04,0.31
1.42,69.82,0.14,0.13,0.04,0.3
1.68,70.38,0.13,0.13,0.03,0.3
1.52,70.89,0.12,0.12,0.03,0.3
1.78,71.7,0.12,0.11,0.03,0.29
1.56,72.82,0.11,0.11,0.03,0.29
1.56,74.15,0.11,0.1,0.03,0.28
1.47,73.42,0.1,0.1,0.03,0.28
1.63,74.81,0.1,0.1,0.03,0.27
1.58,75.58,0.09,0.09,0.03,0.27
1.67,76.2,0.09,0.09,0.03,0.27
1.48,75.99,0.07,0.08,0.03,0.26
1.65,76.82,0.05,0.08,0.03,0.26
1.56,76.38,0.03,0.08,0.03,0.26
1.5,77.09,0.02,0.07,0.03,0.26
1.59,78.01,0.02,0.07,0.02,0.25
1.52,76.08,0.02,0.06,0.02,0.25
1.58,80.79,0.02,0.05,0.02,0.25
1.76,77.58,0.01,0.04,0.02,0.24
1.63,77.75,0.01,0.05,0.02,0.24
1.52,78.11,0.02,0.06,0.02,0.25
1.55,78.79,0.02,0.07,0.03,0.25
1.52,75.55,0.06,0.08,0.03,0.26
1.58,75.3,0.1,0.09,0.03,0.27
1.43,75.78,0.11,0.11,0.03,0.28
1.64,73.09,0.12,0.12,0.03,0.29
1.47,72.56,0.13,0.12,0.03,0.3
1.41,70.42,0.14,0.14,0.04,0.31
1.63,69.02,0.15,0.15,0.05,0.32
1.52,67.57,0.16,0.16,0.06,0.32
1.57,65.83,0.17,0.17,0.07,0.33
1.45,64.54,0.18,0.18,0.08,0.34
1.41,63.68,0.19,0.18,0.09,0.35
1.51,61.68,0.2,0.19,0.1,0.35
1.53,61.35,0.21,0.2,0.11,0.36
1.24,58.74,0.22,0.21,0.12,0.37
1.61,58.13,0.22,0.22,0.13,0.37
1.4,56.66,0.23,0.22,0.14,0.38
0.59,56.06,0.23,0.23,0.15,0.38
1.73,54.15,0.24,0.24,0.16,0.38
1.31,53.37,0.24,0.24,0.17,0.39
1.38,52.61,0.25,0.25,0.18,0.39
